name,updated_name,dataset,image_size,image_size_rat,image_size_cat,param_count,size,architecture,technique,dataset-size,imagenet-zeroshot-val-top1,imagenetv2-zeroshot-val-top1,imagenets-zeroshot-val-top1,imagenetr-zeroshot-val-top1,imageneta-zeroshot-val-top1,imagenet-average-robustness,imagenet-effective-robustness,in100-zeroshot-val-top1,in100v2-zeroshot-val-top1,in100s-zeroshot-val-top1,in100r-zeroshot-val-top1,in100a-zeroshot-val-top1,in100-average-robustness,in100-effective-robustness,in100-dogs-zeroshot-val-top1,in100-dogs-v2-zeroshot-val-top1,in100-dogs-s-zeroshot-val-top1,in100-dogs-r-zeroshot-val-top1,in100-dogs-a-zeroshot-val-top1,in100-dogs-average-robustness,in100-dogs-effective-robustness
gluon_resnet34_v1b,gluon_resnet34_v1b,in1k,224,0.28,S,21.8,S,Convolution,Conventional,1200000,0.724,0.599,0.205,0.325,0.027,0.289,0.399,0.9274,0.852,0.441471572,0.398667935,0.177389132,0.467,0.504,0.7772,0.605,0.370669291,0.630426431,0.477272727,0.521,0.67
gluon_resnet50_v1b,gluon_resnet50_v1b,in1k,224,0.28,S,25.56,S,Convolution,Conventional,1200000,0.751,0.629,0.226,0.348,0.041,0.311,0.414,0.9438,0.878,0.452291954,0.422454805,0.191755153,0.486,0.515,0.8122,0.638,0.396456693,0.629273915,0.409090909,0.518,0.638
gluon_resnet50_v1c,gluon_resnet50_v1c,in1k,224,0.28,S,25.58,S,Convolution,Conventional,1200000,0.759,0.636,0.237,0.356,0.049,0.32,0.422,0.9464,0.883,0.437536888,0.422771963,0.198625859,0.485,0.512,0.8144,0.651,0.376377953,0.597771802,0.443181818,0.517,0.635
gluon_resnet50_v1d,gluon_resnet50_v1d,in1k,224,0.28,S,25.58,S,Convolution,Conventional,1200000,0.78,0.664,0.262,0.386,0.079,0.348,0.446,0.9528,0.886,0.468817627,0.442277196,0.241723923,0.51,0.535,0.8258,0.668,0.402952756,0.650787553,0.511363636,0.558,0.676
gluon_resnet50_v1s,gluon_resnet50_v1s,in1k,224,0.28,S,25.68,S,Convolution,Conventional,1200000,0.777,0.661,0.258,0.38,0.072,0.343,0.441,0.9502,0.886,0.455833169,0.430542341,0.234853217,0.502,0.528,0.814,0.654,0.395275591,0.64656166,0.579545455,0.569,0.699
gluon_resnext101_32x4d,gluon_resnext101_32x4d,in1k,224,0.28,S,44.18,S,Convolution,Conventional,1200000,0.801,0.687,0.293,0.413,0.139,0.383,0.478,0.9554,0.892,0.475309856,0.464478275,0.284821986,0.529,0.554,0.8322,0.664,0.428740157,0.689204764,0.534090909,0.579,0.696
gluon_resnext101_64x4d,gluon_resnext101_64x4d,in1k,224,0.28,S,83.46,M,Convolution,Conventional,1200000,0.806,0.695,0.304,0.426,0.169,0.399,0.495,0.9562,0.903,0.467243754,0.457500793,0.306058713,0.533,0.557,0.8364,0.672,0.428740157,0.670764502,0.579545455,0.588,0.703
gluon_resnext50_32x4d,gluon_resnext50_32x4d,in1k,224,0.28,S,25.03,S,Convolution,Conventional,1200000,0.785,0.669,0.268,0.393,0.09,0.355,0.452,0.9542,0.885,0.450914814,0.448461782,0.250468457,0.509,0.533,0.8194,0.654,0.40492126,0.660776028,0.5,0.555,0.677
gluon_senet154,gluon_senet154,in1k,224,0.28,S,115.09,L,Convolution,Conventional,1200000,0.812,0.704,0.31,0.434,0.193,0.41,0.505,0.9566,0.896,0.471965375,0.423089121,0.325421611,0.529,0.553,0.8422,0.684,0.409055118,0.640799078,0.5,0.558,0.663
gluon_seresnext101_32x4d,gluon_seresnext101_32x4d,in1k,224,0.28,S,48.96,S,Convolution,Conventional,1200000,0.809,0.697,0.305,0.428,0.174,0.401,0.496,0.959,0.901,0.503639583,0.479543292,0.333541537,0.554,0.578,0.8354,0.665,0.441535433,0.703803304,0.522727273,0.583,0.698
gluon_seresnext101_64x4d,gluon_seresnext101_64x4d,in1k,224,0.28,S,88.23,M,Convolution,Conventional,1200000,0.811,0.702,0.309,0.432,0.189,0.408,0.503,0.9562,0.908,0.500885304,0.483983508,0.347907558,0.56,0.586,0.8398,0.67,0.447637795,0.702266615,0.545454545,0.591,0.704
gluon_seresnext50_32x4d,gluon_seresnext50_32x4d,in1k,224,0.28,S,27.56,S,Convolution,Conventional,1200000,0.8,0.687,0.293,0.413,0.136,0.382,0.478,0.956,0.893,0.466850285,0.450840469,0.300437227,0.528,0.552,0.8286,0.646,0.413779528,0.679984633,0.579545455,0.58,0.7
gluon_xception65,gluon_xception65,in1k,299,0.37375,M,39.92,S,Convolution,Conventional,1200000,0.805,0.694,0.3,0.423,0.164,0.395,0.491,0.9424,0.874,0.49183553,0.457817951,0.234853217,0.515,0.546,0.8048,0.616,0.431889764,0.678063773,0.443181818,0.542,0.673
gmixer_24_224,gmixer_24_224,in1k,224,0.28,S,24.72,S,MLP,Conventional,1200000,0.795,0.682,0.286,0.406,0.119,0.373,0.469,0.9414,0.876,0.476490262,0.399777989,0.271080575,0.506,0.537,0.8032,0.611,0.38484252,0.610065309,0.534090909,0.535,0.666
gmlp_s16_224,gmlp_s16_224,in1k,224,0.28,S,19.42,S,MLP,Conventional,1200000,0.805,0.695,0.301,0.424,0.165,0.396,0.492,0.9476,0.888,0.481015149,0.45797653,0.304184884,0.533,0.562,0.7988,0.602,0.403346457,0.684978871,0.613636364,0.576,0.721
halo2botnet50ts_256,halo2botnet50ts_256,in1k,256,0.32,M,22.64,S,ViT,Conventional,1200000,0.822,0.713,0.329,0.454,0.256,0.438,0.533,0.9624,0.908,0.467637222,0.425784967,0.424109931,0.556,0.578,0.8548,0.677,0.420275591,0.642719939,0.568181818,0.577,0.675
halonet26t,halonet26t,in1k,256,0.32,M,12.48,S,ViT,Conventional,1200000,0.793,0.678,0.283,0.404,0.111,0.369,0.465,0.9532,0.884,0.422781822,0.398350777,0.296064959,0.5,0.525,0.8114,0.632,0.35492126,0.579715713,0.545454545,0.528,0.651
halonet50ts,halonet50ts,in1k,256,0.32,M,22.73,S,ViT,Conventional,1200000,0.815,0.708,0.315,0.441,0.229,0.423,0.519,0.9626,0.898,0.442061775,0.42340628,0.397251718,0.54,0.561,0.8462,0.672,0.408070866,0.629273915,0.636363636,0.586,0.693
haloregnetz_b,haloregnetz_b,in1k,224,0.28,S,11.68,S,ViT,Conventional,1200000,0.812,0.704,0.311,0.436,0.2,0.413,0.509,0.9586,0.902,0.473735983,0.44338725,0.325421611,0.536,0.559,0.8208,0.649,0.373031496,0.660776028,0.534090909,0.554,0.675
hrnet_w18,hrnet_w18,in1k,384,0.48,M,21.3,S,Convolution,Conventional,1200000,0.768,0.646,0.245,0.365,0.055,0.328,0.427,0.9362,0.884,0.428683848,0.406279734,0.217988757,0.484,0.517,0.7888,0.618,0.355905512,0.631963119,0.522727273,0.532,0.674
hrnet_w18_small,hrnet_w18_small,in1k,384,0.48,M,13.19,S,Convolution,Conventional,1200000,0.652,0.521,0.145,0.262,0.015,0.236,0.362,0.9164,0.834,0.369663584,0.366000634,0.155527795,0.431,0.47,0.7386,0.564,0.290748031,0.577026508,0.386363636,0.455,0.616
hrnet_w18_small_v2,hrnet_w18_small_v2,in1k,384,0.48,M,15.6,S,Convolution,Conventional,1200000,0.724,0.602,0.208,0.326,0.027,0.291,0.402,0.9258,0.854,0.372417863,0.379162702,0.173641474,0.445,0.481,0.773,0.599,0.311811024,0.593161736,0.397727273,0.475,0.614
hrnet_w30,hrnet_w30,in1k,384,0.48,M,37.71,S,Convolution,Conventional,1200000,0.783,0.668,0.266,0.389,0.086,0.352,0.45,0.9488,0.879,0.445996459,0.421186172,0.272954403,0.505,0.532,0.8086,0.649,0.376181102,0.642719939,0.5,0.542,0.67
hrnet_w32,hrnet_w32,in1k,384,0.48,M,41.23,S,Convolution,Conventional,1200000,0.781,0.665,0.263,0.386,0.08,0.349,0.447,0.9468,0.881,0.429864253,0.406279734,0.249843848,0.492,0.52,0.807,0.666,0.376771654,0.636189013,0.556818182,0.559,0.693
hrnet_w40,hrnet_w40,in1k,384,0.48,M,57.56,M,Convolution,Conventional,1200000,0.786,0.67,0.271,0.395,0.092,0.357,0.454,0.9478,0.887,0.458587448,0.418966064,0.26233604,0.507,0.535,0.8144,0.643,0.397244094,0.672685363,0.590909091,0.576,0.707
hrnet_w44,hrnet_w44,in1k,384,0.48,M,67.06,M,Convolution,Conventional,1200000,0.791,0.675,0.278,0.4,0.103,0.364,0.46,0.9468,0.901,0.436159748,0.408817,0.273579013,0.505,0.533,0.8126,0.644,0.379724409,0.634268152,0.534090909,0.548,0.674
hrnet_w48,hrnet_w48,in1k,384,0.48,M,77.47,M,Convolution,Conventional,1200000,0.793,0.678,0.283,0.404,0.111,0.369,0.465,0.947,0.89,0.440881369,0.410085633,0.275452842,0.504,0.532,0.8146,0.662,0.400393701,0.653476758,0.522727273,0.56,0.687
hrnet_w64,hrnet_w64,in1k,384,0.48,M,128.06,L,Convolution,Conventional,1200000,0.796,0.683,0.286,0.406,0.12,0.374,0.47,0.9506,0.894,0.452882156,0.422454805,0.273579013,0.511,0.538,0.8252,0.672,0.400393701,0.64656166,0.568181818,0.572,0.693
ig_resnext101_32x16d,ig_resnext101_32x16d,ig1b,224,0.28,S,194.03,L,Convolution,Conventional,1000000000,0.853,0.756,0.424,0.549,0.531,0.565,0.662,0.9766,0.944,0.859138304,0.846812559,0.654590881,0.826,0.846,0.8758,0.76,0.601771654,0.873607376,0.840909091,0.769,0.878
ig_resnext101_32x32d,ig_resnext101_32x32d,ig1b,224,0.28,S,468.53,L,Convolution,Conventional,1000000000,0.858,0.761,0.458,0.595,0.58,0.599,0.698,0.9792,0.945,0.866810938,0.85949889,0.702685821,0.843,0.861,0.8792,0.778,0.61515748,0.884748367,0.818181818,0.774,0.88
ig_resnext101_32x8d,ig_resnext101_32x8d,ig1b,224,0.28,S,88.79,M,Convolution,Conventional,1000000000,0.845,0.744,0.393,0.522,0.453,0.528,0.625,0.9734,0.94,0.829824907,0.818426895,0.560899438,0.787,0.809,0.8618,0.743,0.600787402,0.865539762,0.727272727,0.734,0.852
inception_resnet_v2,inception_resnet_v2,in1k,299,0.37375,M,55.84,M,Convolution,Conventional,1200000,0.805,0.695,0.302,0.425,0.166,0.397,0.493,0.9202,0.84,0.474916388,0.449413257,0.21299188,0.494,0.537,0.7618,0.581,0.419291339,0.664617749,0.352272727,0.504,0.662
inception_v3,inception_v3,in1k,299,0.37375,M,23.83,S,Convolution,Conventional,1200000,0.789,0.674,0.275,0.397,0.1,0.362,0.459,0.9058,0.833,0.460948259,0.400888043,0.178013741,0.468,0.517,0.7532,0.584,0.389566929,0.610449481,0.363636364,0.487,0.647
inception_v4,inception_v4,in1k,299,0.37375,M,42.68,S,Convolution,Conventional,1200000,0.808,0.697,0.305,0.428,0.173,0.401,0.496,0.916,0.838,0.453472359,0.410878528,0.202998126,0.476,0.52,0.7648,0.611,0.399606299,0.651555897,0.363636364,0.506,0.662
jx_nest_base,jx_nest_base,in1k,224,0.28,S,67.72,M,ViT,Conventional,1200000,0.836,0.731,0.359,0.485,0.361,0.484,0.579,0.9686,0.925,0.512492622,0.471931494,0.520924422,0.608,0.628,0.859,0.697,0.462204724,0.686515559,0.693181818,0.635,0.739
jx_nest_small,jx_nest_small,in1k,224,0.28,S,38.35,S,ViT,Conventional,1200000,0.83,0.725,0.347,0.471,0.323,0.467,0.563,0.9668,0.917,0.510722015,0.469077069,0.493441599,0.598,0.619,0.8578,0.692,0.473818898,0.689973108,0.715909091,0.643,0.75
jx_nest_tiny,jx_nest_tiny,in1k,224,0.28,S,17.06,S,ViT,Conventional,1200000,0.815,0.708,0.315,0.441,0.232,0.424,0.52,0.9594,0.909,0.480031477,0.441325722,0.401623985,0.558,0.582,0.831,0.681,0.453937008,0.664233577,0.625,0.606,0.729
lambda_resnet26rpt_256,lambda_resnet26rpt_256,in1k,256,0.32,M,10.99,S,Convolution,Conventional,1200000,0.791,0.675,0.277,0.398,0.103,0.363,0.459,0.9534,0.894,0.43950423,0.407231208,0.286071205,0.507,0.532,0.807,0.628,0.357677165,0.577794852,0.545454545,0.527,0.653
lambda_resnet26t,lambda_resnet26t,in1k,256,0.32,M,10.96,S,Convolution,Conventional,1200000,0.793,0.679,0.283,0.404,0.114,0.37,0.467,0.944,0.886,0.453669093,0.412147161,0.271705184,0.506,0.536,0.8022,0.627,0.356889764,0.609296965,0.545454545,0.535,0.667
lambda_resnet50ts,lambda_resnet50ts,in1k,256,0.32,M,21.54,S,Convolution,Conventional,1200000,0.811,0.703,0.31,0.433,0.191,0.409,0.504,0.9526,0.894,0.468817627,0.417063114,0.321049344,0.525,0.551,0.8252,0.63,0.412204724,0.617748751,0.522727273,0.546,0.662
lamhalobotnet50ts_256,lamhalobotnet50ts_256,in1k,256,0.32,M,22.57,S,Convolution,Conventional,1200000,0.817,0.709,0.319,0.444,0.236,0.427,0.523,0.962,0.893,0.473932717,0.434189661,0.420362274,0.555,0.577,0.8388,0.672,0.406102362,0.640799078,0.693181818,0.603,0.719
lcnet_050,lcnet_050.ra2_in1k,in1k,224,0.28,S,1.88,S,Convolution,Conventional,1200000,0.688,0.558,0.167,0.281,0.018,0.256,0.372,0.8636,0.747,0.309462916,0.330161751,0.106183635,0.373,0.432,0.6472,0.441,0.225787402,0.495582021,0.431818182,0.399,0.617
lcnet_075,lcnet_075.ra2_in1k,in1k,224,0.28,S,2.36,S,Convolution,Conventional,1200000,0.716,0.583,0.193,0.304,0.023,0.276,0.385,0.8952,0.804,0.366909306,0.351887092,0.13116802,0.413,0.461,0.7124,0.526,0.27992126,0.521705724,0.375,0.426,0.598
lcnet_100,lcnet_100.ra2_in1k,in1k,224,0.28,S,2.95,S,Convolution,Conventional,1200000,0.723,0.594,0.204,0.322,0.026,0.287,0.397,0.9152,0.833,0.39700964,0.380272756,0.154903186,0.441,0.482,0.75,0.563,0.3,0.561659624,0.352272727,0.444,0.592
legacy_seresnet101,legacy_seresnet101,in1k,224,0.28,S,49.33,S,Convolution,Conventional,1200000,0.782,0.667,0.265,0.388,0.085,0.351,0.449,0.9452,0.893,0.403305135,0.403901047,0.255465334,0.489,0.517,0.8102,0.648,0.361023622,0.626968882,0.443181818,0.52,0.642
legacy_seresnet152,legacy_seresnet152,in1k,224,0.28,S,66.82,M,Convolution,Conventional,1200000,0.787,0.671,0.272,0.395,0.093,0.358,0.455,0.9472,0.884,0.431634861,0.415001586,0.266083698,0.499,0.527,0.8174,0.654,0.388385827,0.636189013,0.488636364,0.542,0.663
legacy_seresnet18,legacy_seresnet18,in1k,224,0.28,S,11.78,S,Convolution,Conventional,1200000,0.718,0.589,0.2,0.305,0.025,0.28,0.39,0.9166,0.832,0.399960653,0.377894069,0.13179263,0.435,0.475,0.7458,0.56,0.319291339,0.588935843,0.443181818,0.478,0.641
legacy_seresnet34,legacy_seresnet34,in1k,224,0.28,S,21.96,S,Convolution,Conventional,1200000,0.74,0.619,0.216,0.335,0.033,0.301,0.407,0.9264,0.852,0.427109974,0.391373295,0.185509057,0.464,0.501,0.7886,0.614,0.345866142,0.6046869,0.431818182,0.499,0.633
legacy_seresnet50,legacy_seresnet50,in1k,224,0.28,S,28.09,S,Convolution,Conventional,1200000,0.771,0.653,0.251,0.37,0.062,0.334,0.433,0.9414,0.877,0.383434979,0.39597209,0.239225484,0.474,0.504,0.8004,0.626,0.353543307,0.603918556,0.465909091,0.512,0.64
legacy_seresnext26_32x4d,legacy_seresnext26_32x4d,in1k,224,0.28,S,16.79,S,Convolution,Conventional,1200000,0.774,0.656,0.254,0.372,0.066,0.337,0.435,0.9424,0.876,0.394452095,0.378369807,0.21236727,0.465,0.493,0.797,0.622,0.33523622,0.575105647,0.556818182,0.522,0.655
levit_128,levit_128,in1k,224,0.28,S,9.21,S,ViT,Conventional,1200000,0.794,0.679,0.284,0.404,0.114,0.37,0.466,0.9502,0.876,0.431241393,0.419441801,0.298563398,0.506,0.533,0.8028,0.619,0.385629921,0.650403381,0.568181818,0.556,0.693
levit_128s,levit_128s,in1k,224,0.28,S,7.78,S,ViT,Conventional,1200000,0.783,0.668,0.266,0.39,0.087,0.353,0.451,0.939,0.858,0.41196144,0.395020615,0.247345409,0.478,0.509,0.7816,0.597,0.348425197,0.623511333,0.511363636,0.52,0.665
levit_192,levit_192,in1k,224,0.28,S,10.95,S,ViT,Conventional,1200000,0.803,0.691,0.296,0.416,0.149,0.388,0.483,0.9584,0.892,0.451308283,0.436726927,0.337289194,0.529,0.552,0.8204,0.624,0.399409449,0.647330004,0.602272727,0.568,0.692
levit_256,levit_256,in1k,224,0.28,S,18.89,S,ViT,Conventional,1200000,0.811,0.703,0.31,0.433,0.192,0.41,0.506,0.96,0.912,0.45307889,0.439264193,0.371642723,0.544,0.567,0.8418,0.666,0.399409449,0.666922781,0.579545455,0.578,0.687
levit_384,levit_384,in1k,224,0.28,S,39.13,S,ViT,Conventional,1200000,0.816,0.709,0.317,0.442,0.234,0.426,0.522,0.9658,0.919,0.499114696,0.484617824,0.437226733,0.585,0.606,0.8468,0.668,0.433858268,0.699577411,0.636363636,0.609,0.719
mixer_b16_224,mixer_b16_224,in1k,224,0.28,S,59.88,M,MLP,Conventional,1200000,0.782,0.667,0.266,0.389,0.086,0.352,0.45,0.9228,0.84,0.393861893,0.364256264,0.205496565,0.451,0.489,0.741,0.521,0.345866142,0.575489819,0.340909091,0.446,0.602
mixer_b16_224_miil,mixer_b16_224_miil,in21k,224,0.28,S,59.88,M,MLP,Conventional,14200000,0.811,0.702,0.31,0.433,0.19,0.409,0.504,0.6036,0.483,0.220342318,0.271011735,0.126171143,0.275,0.456,0.4,0.252,0.213779528,0.401459854,0.340909091,0.302,0.755
mixer_l16_224,mixer_l16_224,in1k,224,0.28,S,208.2,L,MLP,Conventional,1200000,0.769,0.65,0.248,0.367,0.059,0.331,0.43,0.8936,0.77,0.326578792,0.300507453,0.154903186,0.388,0.434,0.6904,0.402,0.236811024,0.453323089,0.363636364,0.364,0.527
mixnet_l,mixnet_l.ft_in1k,in1k,224,0.28,S,7.33,S,Convolution,Conventional,1200000,0.784,0.669,0.268,0.392,0.089,0.355,0.453,0.9518,0.888,0.444816054,0.424516334,0.253591505,0.503,0.528,0.8202,0.629,0.372834646,0.631578947,0.454545455,0.522,0.636
mixnet_m,mixnet_m.ft_in1k,in1k,224,0.28,S,5.01,S,Convolution,Conventional,1200000,0.774,0.657,0.255,0.373,0.066,0.338,0.437,0.9418,0.866,0.429274051,0.399302252,0.22985634,0.481,0.511,0.8018,0.613,0.340354331,0.596619285,0.420454545,0.493,0.615
mixnet_s,mixnet_s.ft_in1k,in1k,224,0.28,S,4.13,S,Convolution,Conventional,1200000,0.76,0.637,0.238,0.358,0.049,0.321,0.422,0.9356,0.858,0.39700964,0.384395814,0.21361649,0.463,0.495,0.7828,0.6,0.324606299,0.573568959,0.420454545,0.48,0.613
mixnet_xl,mixnet_xl.ra_in1k,in1k,224,0.28,S,11.9,S,Convolution,Conventional,1200000,0.798,0.684,0.289,0.409,0.131,0.378,0.474,0.9554,0.895,0.453275625,0.424040596,0.296689569,0.517,0.541,0.826,0.663,0.394488189,0.631963119,0.534090909,0.556,0.673
mnasnet_100,mnasnet_100.rmsp_in1k,in1k,224,0.28,S,4.38,S,Convolution,Conventional,1200000,0.733,0.612,0.213,0.332,0.031,0.297,0.405,0.9338,0.829,0.381074169,0.384871551,0.174266084,0.442,0.473,0.7728,0.582,0.33011811,0.573568959,0.477272727,0.491,0.635
mnasnet_small,mnasnet_small.lamb_in1k,in1k,224,0.28,S,2.03,S,Convolution,Conventional,1200000,0.679,0.554,0.165,0.279,0.018,0.254,0.374,0.8806,0.768,0.353924848,0.354582937,0.124297314,0.4,0.454,0.6822,0.491,0.261614173,0.533999232,0.318181818,0.401,0.588
mobilenetv2_050,mobilenetv2_050.lamb_in1k,in1k,224,0.28,S,1.97,S,Convolution,Conventional,1200000,0.66,0.531,0.15,0.263,0.016,0.24,0.364,0.8812,0.764,0.366712571,0.348081193,0.120549656,0.4,0.454,0.6728,0.473,0.247637795,0.517095659,0.375,0.403,0.599
mobilenetv2_100,mobilenetv2_100.ra_in1k,in1k,224,0.28,S,3.5,S,Convolution,Conventional,1200000,0.711,0.582,0.182,0.296,0.021,0.27,0.38,0.9204,0.84,0.36710604,0.378211227,0.158650843,0.436,0.474,0.756,0.567,0.312992126,0.556281214,0.454545455,0.473,0.626
mobilenetv2_110d,mobilenetv2_110d.ra_in1k,in1k,224,0.28,S,4.52,S,Convolution,Conventional,1200000,0.734,0.613,0.213,0.334,0.032,0.298,0.406,0.9286,0.86,0.408813693,0.398985094,0.187382886,0.464,0.5,0.7774,0.585,0.344291339,0.606223588,0.488636364,0.506,0.651
mobilenetv2_120d,mobilenetv2_120d.ra_in1k,in1k,224,0.28,S,5.83,S,Convolution,Conventional,1200000,0.755,0.633,0.231,0.351,0.045,0.315,0.417,0.9444,0.869,0.436946685,0.406755471,0.210493442,0.481,0.509,0.7968,0.625,0.366535433,0.60660776,0.431818182,0.507,0.636
mobilenetv2_140,mobilenetv2_140.ra_in1k,in1k,224,0.28,S,6.11,S,Convolution,Conventional,1200000,0.746,0.625,0.219,0.338,0.037,0.305,0.409,0.9378,0.862,0.405075743,0.407072629,0.186133666,0.465,0.496,0.7928,0.612,0.345472441,0.598540146,0.420454545,0.494,0.623
mobilenetv3_large_100,mobilenetv3_large_100.ra_in1k,in1k,224,0.28,S,5.48,S,Convolution,Conventional,1200000,0.763,0.642,0.24,0.36,0.051,0.323,0.423,0.935,0.863,0.432815267,0.393910561,0.207995003,0.474,0.507,0.7858,0.583,0.346653543,0.574721475,0.477272727,0.495,0.63
mobilenetv3_rw,mobilenetv3_rw.rmsp_in1k,in1k,224,0.28,S,5.48,S,Convolution,Conventional,1200000,0.76,0.637,0.237,0.358,0.049,0.32,0.421,0.9322,0.861,0.412354909,0.405011101,0.220487196,0.475,0.51,0.7846,0.595,0.317716535,0.587014983,0.409090909,0.477,0.608
mobilenetv3_small_050,mobilenetv3_small_050.lamb_in1k,in1k,224,0.28,S,1.59,S,Convolution,Conventional,1200000,0.688,0.56,0.167,0.284,0.018,0.257,0.374,0.8206,0.697,0.273657289,0.285442436,0.104934416,0.34,0.414,0.5958,0.385,0.181102362,0.406454091,0.329545455,0.326,0.547
mobilenetv3_small_075,mobilenetv3_small_075.lamb_in1k,in1k,224,0.28,S,2.04,S,Convolution,Conventional,1200000,0.716,0.583,0.186,0.297,0.023,0.272,0.38,0.8744,0.765,0.322644108,0.320805582,0.126795753,0.384,0.439,0.67,0.467,0.243503937,0.499807914,0.397727273,0.402,0.6
mobilenetv3_small_100,mobilenetv3_small_100.lamb_in1k,in1k,224,0.28,S,2.54,S,Convolution,Conventional,1200000,0.701,0.572,0.175,0.289,0.02,0.264,0.377,0.8852,0.77,0.348613024,0.347605455,0.143035603,0.402,0.454,0.6996,0.492,0.271259843,0.525163273,0.329545455,0.404,0.577
nf_regnet_b1,nf_regnet_b1,in1k,288,0.36,M,10.22,S,Convolution,Conventional,1200000,0.798,0.684,0.289,0.409,0.129,0.378,0.474,0.9442,0.874,0.496360417,0.451633365,0.24609619,0.517,0.548,0.8036,0.611,0.402559055,0.651940069,0.5,0.541,0.673
nf_resnet50,nf_resnet50,in1k,288,0.36,M,25.56,S,Convolution,Conventional,1200000,0.795,0.682,0.286,0.405,0.118,0.373,0.469,0.952,0.884,0.490064922,0.468601332,0.254840725,0.524,0.55,0.8172,0.651,0.413976378,0.67038033,0.534090909,0.567,0.694
nfnet_l0,nfnet_l0,in1k,288,0.36,M,35.07,S,Convolution,Conventional,1200000,0.823,0.714,0.33,0.456,0.262,0.441,0.536,0.965,0.919,0.558528428,0.487472249,0.403497814,0.592,0.613,0.8418,0.667,0.466141732,0.709181713,0.636363636,0.62,0.737
pit_b_224,pit_b_224,in1k,224,0.28,S,73.76,M,ViT,Conventional,1200000,0.832,0.726,0.35,0.476,0.332,0.471,0.566,0.9648,0.899,0.498721228,0.463368221,0.490943161,0.588,0.609,0.8532,0.677,0.433070866,0.658855167,0.647727273,0.604,0.708
pit_b_distilled_224,pit_b_distilled_224,in1k,224,0.28,S,74.79,M,ViT,Conventional,1200000,0.835,0.731,0.358,0.484,0.356,0.482,0.577,0.9726,0.932,0.570135747,0.539961941,0.546533417,0.647,0.665,0.8642,0.709,0.500590551,0.752977334,0.761363636,0.681,0.788
pit_s_224,pit_s_224,in1k,224,0.28,S,23.46,S,ViT,Conventional,1200000,0.814,0.705,0.313,0.438,0.211,0.417,0.512,0.9608,0.908,0.512492622,0.460830955,0.405996252,0.572,0.595,0.826,0.644,0.433070866,0.672301191,0.613636364,0.591,0.715
pit_s_distilled_224,pit_s_distilled_224,in1k,224,0.28,S,24.04,S,ViT,Conventional,1200000,0.815,0.706,0.313,0.439,0.224,0.421,0.517,0.962,0.913,0.550068857,0.510466223,0.420986883,0.599,0.623,0.8324,0.688,0.456299213,0.711870918,0.625,0.62,0.745
pit_ti_224,pit_ti_224,in1k,224,0.28,S,4.85,S,ViT,Conventional,1200000,0.771,0.652,0.25,0.369,0.061,0.333,0.432,0.923,0.849,0.427306709,0.392800507,0.217988757,0.472,0.511,0.7444,0.576,0.316141732,0.59008836,0.556818182,0.51,0.685
pit_ti_distilled_224,pit_ti_distilled_224,in1k,224,0.28,S,5.1,S,ViT,Conventional,1200000,0.774,0.657,0.254,0.372,0.066,0.337,0.435,0.9308,0.858,0.460948259,0.422454805,0.234228607,0.494,0.531,0.7626,0.596,0.352362205,0.641567422,0.534090909,0.531,0.696
pit_xs_224,pit_xs_224,in1k,224,0.28,S,10.62,S,ViT,Conventional,1200000,0.797,0.684,0.289,0.408,0.128,0.377,0.473,0.9498,0.889,0.473342514,0.428005075,0.313554029,0.526,0.554,0.7924,0.634,0.366338583,0.630042259,0.545454545,0.544,0.687
pit_xs_distilled_224,pit_xs_distilled_224,in1k,224,0.28,S,11,S,ViT,Conventional,1200000,0.799,0.686,0.29,0.41,0.133,0.38,0.476,0.9522,0.885,0.513869762,0.471931494,0.332916927,0.551,0.579,0.8048,0.643,0.417913386,0.683826354,0.647727273,0.598,0.743
pnasnet5large,pnasnet5large,in1k,331,0.41375,M,86.06,M,Convolution,Conventional,1200000,0.816,0.708,0.316,0.441,0.233,0.425,0.521,0.9004,0.796,0.345071808,0.391531874,0.168644597,0.425,0.472,0.6992,0.541,0.320866142,0.582020745,0.295454545,0.435,0.622
poolformer_m36,poolformer_m36,in1k,224,0.28,S,56.17,M,ViT,Conventional,1200000,0.815,0.707,0.314,0.44,0.225,0.422,0.518,0.9646,0.914,0.474129451,0.460355217,0.432854466,0.57,0.591,0.8472,0.684,0.424409449,0.66845947,0.636363636,0.603,0.712
poolformer_m48,poolformer_m48,in1k,224,0.28,S,73.47,M,ViT,Conventional,1200000,0.818,0.709,0.322,0.447,0.24,0.43,0.526,0.9658,0.917,0.487507378,0.460513796,0.467207995,0.583,0.604,0.8498,0.695,0.429133858,0.662696888,0.636363636,0.606,0.713
poolformer_s12,poolformer_s12,in1k,224,0.28,S,11.92,S,ViT,Conventional,1200000,0.773,0.656,0.254,0.372,0.066,0.337,0.436,0.943,0.879,0.444816054,0.429749445,0.243597751,0.499,0.529,0.7888,0.631,0.36515748,0.627353054,0.534090909,0.539,0.683
poolformer_s24,poolformer_s24,in1k,224,0.28,S,21.39,S,ViT,Conventional,1200000,0.802,0.689,0.294,0.415,0.143,0.385,0.48,0.9554,0.902,0.467440488,0.442277196,0.34353529,0.539,0.564,0.8226,0.654,0.409645669,0.642335766,0.602272727,0.577,0.701
