category,species,count
Arachnida,abyssinicus,1
Arachnida,acalypha,3
Arachnida,accentuata,3
Arachnida,adansoni,1
Arachnida,aeneola,4
Arachnida,aetherea,5
Arachnida,albineus,1
Arachnida,americanum,2
Arachnida,anastera,1
Arachnida,appensa,8
Arachnida,argentata,2
Arachnida,argyrobapta,4
Arachnida,arizonensis,2
Arachnida,armada,1
Arachnida,audax,25
Arachnida,aurantia,26
Arachnida,aurantiaca,1
Arachnida,avicularia,1
Arachnida,bennetti,6
Arachnida,bhamoensis,4
Arachnida,bicentenarius,1
Arachnida,bivittatus,3
Arachnida,blackwalli,4
Arachnida,boreus,1
Arachnida,brachytarsa,2
Arachnida,bruennichi,1
Arachnida,calaceris,2
Arachnida,calcar,1
Arachnida,californicus,6
Arachnida,cancerides,1
Arachnida,cancriformis,7
Arachnida,canosus,2
Arachnida,carolinensis,4
Arachnida,carolinianus,4
Arachnida,cavaticus,1
Arachnida,cerasicrumena,1
Arachnida,chrysops,3
Arachnida,cicatrosa,2
Arachnida,citricola,1
Arachnida,clarus,1
Arachnida,clavata,1
Arachnida,clavipes,21
Arachnida,conica,4
Arachnida,cornutus,1
Arachnida,costatus,1
Arachnida,crocata,7
Arachnida,crucifera,2
Arachnida,cruentata,1
Arachnida,cupreus,1
Arachnida,descripta,1
Arachnida,deserta,4
Arachnida,diadematus,23
Arachnida,diardi,10
Arachnida,dimidiata,6
Arachnida,diodia,1
Arachnida,dispar,5
Arachnida,displicata,6
Arachnida,domestica,3
Arachnida,donensis,1
Arachnida,doriae,1
Arachnida,dorsata,1
Arachnida,durandi,1
Arachnida,ecclesiasticus,2
Arachnida,edulis,2
Arachnida,elegans,2
Arachnida,emarginatae,5
Arachnida,epicureanus,1
Arachnida,eutylenum,1
Arachnida,extensa,6
Arachnida,ferox,3
Arachnida,florens,2
Arachnida,florentina,2
Arachnida,formosa,4
Arachnida,formosipes,1
Arachnida,formosus,1
Arachnida,fornicata,1
Arachnida,fuchsiae,3
Arachnida,fuliginea,1
Arachnida,gabeli,1
Arachnida,geminata,1
Arachnida,geometricus,6
Arachnida,giganteus,3
Arachnida,globosum,2
Arachnida,gracilis,2
Arachnida,graeffei,1
Arachnida,grossa,2
Arachnida,hasselti,5
Arachnida,hentzi,11
Arachnida,hesperus,32
Arachnida,inclemens,13
Arachnida,iodius,4
Arachnida,irminia,1
Arachnida,johnsoni,14
Arachnida,klaasi,1
Arachnida,kuhli,19
Arachnida,leiosoma,1
Arachnida,leishmanni,1
Arachnida,lemniscata,2
Arachnida,ligurina,1
Arachnida,litigiosa,3
Arachnida,littoralis,1
Arachnida,lobata,2
Arachnida,longinqua,5
Arachnida,longipes,1
Arachnida,longitarsis,3
Arachnida,mackiei,1
Arachnida,macrorhyncha,3
Arachnida,mactans,16
Arachnida,manicatus,1
Arachnida,marmoreus,2
Arachnida,maurus,2
Arachnida,melanocephala,1
Arachnida,melanurum,1
Arachnida,mexicanus,7
Arachnida,militaris,3
Arachnida,minax,2
Arachnida,mira,9
Arachnida,mirabilis,4
Arachnida,mitificus,1
Arachnida,mitrata,2
Arachnida,moluccensis,7
Arachnida,mordax,14
Arachnida,multipuncta,6
Arachnida,muscosa,1
Arachnida,nelli,2
Arachnida,niger,2
Arachnida,nobilis,1
Arachnida,nordmanni,5
Arachnida,oaxacensis,5
Arachnida,oblongus,1
Arachnida,occidentalis,9
Arachnida,occitanus,1
Arachnida,onustus,2
Arachnida,opilio,6
Arachnida,oregonensis,2
Arachnida,packardi,1
Arachnida,pallidus,1
Arachnida,parapopuli,2
Arachnida,paykulli,6
Arachnida,petersi,1
Arachnida,phalangioides,22
Arachnida,pilipes,5
Arachnida,placida,4
Arachnida,pluchei,1
Arachnida,plumipes,1
Arachnida,pratensis,1
Arachnida,princeps,3
Arachnida,pulchella,1
Arachnida,pulex,8
Arachnida,pyramitela,8
Arachnida,quinquestriatus,2
Arachnida,rabida,6
Arachnida,radiata,1
Arachnida,ravilla,2
Arachnida,reddelli,1
Arachnida,relata,1
Arachnida,riversi,8
Arachnida,rufescens,2
Arachnida,salticus,4
Arachnida,scalaris,6
Arachnida,scapularis,8
Arachnida,scenicus,8
Arachnida,schreibersi,1
Arachnida,schroederi,1
Arachnida,scriptus,3
Arachnida,sculpturatus,4
Arachnida,semicupreus,7
Arachnida,semilimbatus,9
Arachnida,senegalensis,1
Arachnida,spinigerus,1
Arachnida,spinimana,1
Arachnida,steindachneri,2
Arachnida,stellata,2
Arachnida,subfusca,1
Arachnida,sylvanus,5
Arachnida,tabulata,1
Arachnida,taeniola,3
Arachnida,tenebrosus,10
Arachnida,tepidariorum,7
Arachnida,thoracicus,1
Arachnida,tiliae,3
Arachnida,toolbrunup,1
Arachnida,triangulosa,1
Arachnida,trifasciata,9
Arachnida,trifolium,4
Arachnida,trigonum,2
Arachnida,triton,7
Arachnida,turbinata,2
Arachnida,umbratica,3
Arachnida,undatus,13
Arachnida,variabilis,23
Arachnida,vatia,12
Arachnida,venatoria,2
Arachnida,ventricosum,3
Arachnida,venusta,6
Arachnida,verrucosum,1
Arachnida,viridans,17
Arachnida,viridis,7
Arachnida,vitis,2
Arachnida,vittata,6
Arachnida,vittatus,16
Arachnida,whitmani,2
Arachnida,x-notata,2
